Chemical Name,CASRN,Exposure Route,Assessment Type,Critical Effect or Tumor Type,WOE Characterization,Toxicity Value Type,Toxicity Value
technical Hexachlorocyclohexane (t-HCH),608-73-1,Inhalation,Cancer,Liver nodules and hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,5.1x10-4 per ｵg/m3
Hexachlorocyclopentadiene (HCCPD),77-47-4,Oral,Noncancer,Chronic irritation,n/a,RfD,6x10-3 mg/kg-day
Hexachlorocyclopentadiene (HCCPD),77-47-4,Inhalation,Noncancer,Suppurative inflammation of the nose,n/a,RfC,2x10-4 mg/m3
"Hexachlorodibenzo-p-dioxin (HxCDD), mixture of 1,2,3,6,7,8-HxCDD and 1,2,3,7,8,9-HxCDD",57653-85-7,Oral,Cancer,Liver tumors (adenomas and carcinomas; neoplastic nodules and hepatocellular carcinomas),B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,6.2x103 per mg/kg-day
"Hexachlorodibenzo-p-dioxin (HxCDD), mixture of 1,2,3,6,7,8-HxCDD and 1,2,3,7,8,9-HxCDD",57653-85-7,Inhalation,Cancer,Liver tumors (adenomas and carcinomas; neoplastic nodules and hepatocellular carcinomas),B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1.3 per ｵg/m3
Hexachloroethane,67-72-1,Oral,Noncancer,Atrophy and degeneration of renal tubules,n/a,RfD,7x10-4 mg/kg-day
Hexachloroethane,67-72-1,Inhalation,Noncancer,Neurotoxicity (tremors and ruffled pelt),n/a,RfC,3x10-2 mg/m3
Hexachloroethane,67-72-1,Oral,Cancer,Renal adenomas and carcinomas (combined),Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,4x10-2 per mg/kg-day
Hexachlorophene,70-30-4,Oral,Noncancer,"Swollen salivary glands, status spongiosis in brain and optic nerve",n/a,RfD,3x10-4 mg/kg-day
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",121-82-4,Oral,Noncancer,Suppurative prostatitis in F344 rats,n/a,RfD,8x10-4 mg/kg-day
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",121-82-4,Oral,Cancer,Liver (hepatocellular adenomas or carcinomas) and lung (alveolar/bronchiolar adenomas or carcinomas),Suggestive evidence of carcinogenic potential (2005 guidelines),Oral Slope Factor,8x10-2 per mg/kg-day
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",121-82-4,Oral,Noncancer,Convulsions in F344 rats,n/a,RfD,4x10-3 mg/kg-day
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",121-82-4,Oral,Noncancer,Kidney medullary papillary necrosis in F344 rats,n/a,RfD,1x10-2 mg/kg-day
"1,6-Hexamethylene diisocyanate",822-06-0,Inhalation,Noncancer,Degeneration of olfactory epithelium,n/a,RfC,1x10-5 mg/m3
n-Hexane,110-54-3,Inhalation,Noncancer,Peripheral neuropathy (decreased MCV at 12 weeks),n/a,RfC,7x10-1 mg/m3
2-Hexanone,591-78-6,Inhalation,Noncancer,Motor conduction velocity of the sciatic-tibial nerve,n/a,RfC,3x10-2 mg/m3
2-Hexanone,591-78-6,Oral,Noncancer,Axonal swelling of the peripheral nerve,n/a,RfD,5x10-3 mg/kg-day
Hexazinone,51235-04-2,Oral,Noncancer,Decreased body weight,n/a,RfD,3.3x10-2 mg/kg-day
Hydrazine/Hydrazine sulfate,302-01-2,Oral,Cancer,Hepatoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,3.0 per mg/kg-day
Hydrazine/Hydrazine sulfate,302-01-2,Inhalation,Cancer,Nasal cavity adenoma or adenocarcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,4.9x10-3 per ｵg/m3
Hydrogen Cyanide and Cyanide Salts,Various,Oral,Noncancer,Decreased cauda epididymis weight in male F344/N rats,n/a,RfD,6x10-4 mg/kg-day
Hydrogen Cyanide and Cyanide Salts,Various,Inhalation,Noncancer,Thyroid enlargement and altered iodide uptake,n/a,RfC,8x10-4 mg/m3
Hydrogen chloride,7647-01-0,Inhalation,Noncancer,Hyperplasia of nasal mucosa larynx and trachea,n/a,RfC,2x10-2 mg/m3
Hydrogen sulfide,6/4/7783,Inhalation,Noncancer,Nasal lesions of the olfactory mucosa,n/a,RfC,2x10-3 mg/m3
Imazalil,35554-44-0,Oral,Noncancer,Decreased body weight gain,n/a,RfD,1.3x10-2 mg/kg-day
Imazaquin,81335-37-7,Oral,Noncancer,"Decreased body weight gain, skeletal myopathy, slight anemia, bone marrow hyperplasia, elevated serum SGOT, SGPT, CPK",n/a,RfD,2.5x10-1 mg/kg-day
Iprodione,36734-19-7,Oral,Noncancer,Increased RBC Heinz bodies; decreased prostate weight,n/a,RfD,4x10-2 mg/kg-day
Isobutyl alcohol,78-83-1,Oral,Noncancer,Hypoactivity and ataxia,n/a,RfD,3x10-1 mg/kg-day
Isophorone,78-59-1,Oral,Cancer,Preputial gland carcinoma,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,9.5x10-4 per mg/kg-day
Isophorone,78-59-1,Oral,Noncancer,Kidney pathology,n/a,RfD,2x10-1 mg/kg-day
Isopropalin,33820-53-0,Oral,Noncancer,"Reduced hemoglobin concentration, lowered hematocrits, and altered organ weights",n/a,RfD,1.5x10-2 mg/kg-day
Isopropyl methyl phosphonic acid (IMPA),1832-54-8,Oral,Noncancer,No adverse effects observed,n/a,RfD,1x10-1 mg/kg-day
Isoxaben,82558-50-7,Oral,Noncancer,Increased BUN; decreased serum AP and AST; decreased food consumption efficiency; increased heart/body weight,n/a,RfD,5x10-2 mg/kg-day
Lactofen,77501-63-4,Oral,Noncancer,Increased absolute and relative liver weight; hepatocytomegaly in males,n/a,RfD,2x10-3 mg/kg-day
Libby Amphibole Asbestos,1318-09-8,Inhalation,Noncancer,Localized pleural thickening,n/a,RfC,9x10-5 fiber/cc
Libby Amphibole Asbestos,1318-09-8,Inhalation,Cancer,Cancer mortality from lung cancer and mesothelioma,Carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,1.7x10-1 per fiber/cc
Linuron,330-55-2,Oral,Noncancer,Abnormal blood pigment,n/a,RfD,2x10-3 mg/kg-day
Londax,83055-99-6,Oral,Noncancer,Liver effects,n/a,RfD,2x10-1 mg/kg-day
Malathion,121-75-5,Oral,Noncancer,RBC ChE depression,n/a,RfD,2x10-2 mg/kg-day
Maleic anhydride,108-31-6,Oral,Noncancer,Renal lesions,n/a,RfD,1x10-1 mg/kg-day
Maleic hydrazide,123-33-1,Oral,Noncancer,Renal dysfunction,n/a,RfD,5x10-1 mg/kg-day
Maneb,12427-38-2,Oral,Noncancer,Increased thyroid weight,n/a,RfD,5x10-3 mg/kg-day
Manganese,7439-96-5,Oral,Noncancer,CNS effects,n/a,RfD,1.4x10-1 mg/kg-day
Manganese,7439-96-5,Inhalation,Noncancer,Impairment of neurobehavioral function,n/a,RfC,5x10-5 mg/m3
Mepiquat chloride,24307-26-4,Oral,Noncancer,Sedation and tonoclonic spasms decreased food intake and body weights hematologic effects,n/a,RfD,3x10-2 mg/kg-day
Mercuric chloride (HgCl2),7487-94-7,Oral,Noncancer,Autoimmune effects (autoimmune glomerulonephritis),n/a,RfD,3x10-4 mg/kg-day
"Mercury, elemental",7439-97-6,Inhalation,Noncancer,Hand tremor; increases in memory disturbances; slight subjective and objective evidence of autonomic dysfunction,n/a,RfC,3x10-4 mg/m3
Merphos,150-50-5,Oral,Noncancer,"Ataxia, delayed neurotoxicity and weight loss",n/a,RfD,3x10-5 mg/kg-day
Merphos oxide,78-48-8,Oral,Noncancer,"Ataxia, delayed neurotoxicity and weight loss",n/a,RfD,3x10-5 mg/kg-day
Metalaxyl,57837-19-1,Oral,Noncancer,Increased serum alkaline phosphatase levels and increased liver-to-brain weight ratio,n/a,RfD,6x10-2 mg/kg-day
Methacrylonitrile,126-98-7,Oral,Noncancer,Increased SGOT and SGPT levels,n/a,RfD,1x10-4 mg/kg-day
Methamidophos,10265-92-6,Oral,Noncancer,ChE inhibition,n/a,RfD,5x10-5 mg/kg-day
Methanol,67-56-1,Oral,Noncancer,Extra cervical ribs,n/a,RfD,2 mg/kg-day
Methanol,67-56-1,Inhalation,Noncancer,Reduced brain weight in rat pups at 6 weeks of age,n/a,RfC,2x101 mg/m3
Methidathion,950-37-8,Oral,Noncancer,Liver toxicity,n/a,RfD,1x10-3 mg/kg-day
Methomyl,16752-77-5,Oral,Noncancer,Kidney and spleen pathology,n/a,RfD,2.5x10-2 mg/kg-day
Methoxychlor,72-43-5,Oral,Noncancer,Excessive loss of litters,n/a,RfD,5x10-3 mg/kg-day
2-Methoxyethanol,109-86-4,Inhalation,Noncancer,Testicular effects,n/a,RfC,2x10-2 mg/m3
Methyl chloride,74-87-3,Inhalation,Noncancer,Cerebellar lesions,n/a,RfC,9x10-2 mg/m3
Methyl ethyl ketone (MEK),78-93-3,Inhalation,Noncancer,Developmental toxicity (skeletal variations),n/a,RfC,5 mg/m3
Methyl ethyl ketone (MEK),78-93-3,Oral,Noncancer,Decreased pup body weight,n/a,RfD,6x10-1 mg/kg-day
Methyl isobutyl ketone (MIBK),108-10-1,Inhalation,Noncancer,"Reduced fetal body weight, skeletal variations, and increased fetal death in mice, and skeletal variations in rats.",n/a,RfC,3 mg/m3
Methyl methacrylate,80-62-6,Inhalation,Noncancer,Degeneration/ atrophy of olfactory epithelium (male rats),n/a,RfC,7x10-1 mg/m3
Methyl methacrylate,80-62-6,Oral,Noncancer,None,n/a,RfD,1.4 mg/kg-day
Methyl parathion,298-00-0,Oral,Noncancer,"RBC, ChE inhibition; reduced hemoglobin, hematocrit and RBCs",n/a,RfD,2.5x10-4 mg/kg-day
Methyl tert-butyl ether (MTBE),1634-04-4,Inhalation,Noncancer,"Increased absolute and relative liver and kidney weights and increased severity of spontaneous renal lesions (females), increased prostration (females), and swollen periocular tissue (males and females)",n/a,RfC,3 mg/m3
4-(2-Methyl-4-chlorophenoxy) butyric acid (MCPB),94-81-5,Oral,Noncancer,"Male reproductive toxicity and other effects (including decreased body weight gain), increased liver and kidney weights",n/a,RfD,1x10-2 mg/kg-day
2-(2-Methyl-4-chlorophenoxy)propionic acid (MCPP),93-65-2,Oral,Noncancer,Increased absolute and relative kidney weights,n/a,RfD,1x10-3 mg/kg-day
2-Methyl-4-chlorophenoxyacetic acid (MCPA),94-74-6,Oral,Noncancer,Kidney and liver toxicity,n/a,RfD,5x10-4 mg/kg-day
Methylene Diphenyl Diisocyanate (monomeric MDI) and polymeric MDI (PMDI),101-68-8,Inhalation,Noncancer,Hyperplasia of olfactory epithelium,n/a,RfC,6x10-4 mg/m3
"4,4'-Methylene bis(N,N'-dimethyl)aniline",101-61-1,Oral,Cancer,"Thyroid, follicular cell carcinoma/ adenoma",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,4.6x10-2 per mg/kg-day
Methylmercury (MeHg),22967-92-6,Oral,Noncancer,Developmental neuropsychological impairment,n/a,RfD,1x10-4 mg/kg-day (High end of BMDL05 range)
Methylmercury (MeHg),22967-92-6,Oral,Noncancer,Developmental neuropsychological impairment,n/a,RfD,1x10-4 mg/kg-day (Low end of BMDL05 range)
2-Methylnaphthalene,91-57-6,Oral,Noncancer,Pulmonary alveolar proteinosis,n/a,RfD,4x10-3 mg/kg-day
2-Methylphenol,95-48-7,Oral,Noncancer,Decreased body weights and neurotoxicity,n/a,RfD,5x10-2 mg/kg-day
3-Methylphenol,108-39-4,Oral,Noncancer,Decreased body weights and neurotoxicity,n/a,RfD,5x10-2 mg/kg-day
Metolachlor,51218-45-2,Oral,Noncancer,"Decreased body weight gain, decreased pup weight and parental food consumption",n/a,RfD,1.5x10-1 mg/kg-day
Metribuzin,21087-64-9,Oral,Noncancer,"Liver and kidney effects, decreased body weight, mortality",n/a,RfD,2.5x10-2 mg/kg-day
Mirex,2385-85-5,Oral,Noncancer,"Liver cytomegaly, fatty metamorphosis, angiectasis; thyroid cystic follicles",n/a,RfD,2x10-4 mg/kg-day
Molinate,2212-67-1,Oral,Noncancer,Reproductive toxicity,n/a,RfD,2x10-3 mg/kg-day
Molybdenum,7439-98-7,Oral,Noncancer,Increased uric acid levels,n/a,RfD,5x10-3 mg/kg-day
Monochloramine,10599-90-3,Oral,Noncancer,No observed effects,n/a,RfD,1x10-1 mg/kg-day
Naled,300-76-5,Oral,Noncancer,Brain ChE inhibition,n/a,RfD,2x10-3 mg/kg-day
Naphthalene,91-20-3,Inhalation,Noncancer,"Nasal effects: hyperplasia and metaplasia in respiratory and olfactory epithelium, respectively",n/a,RfC,3x10-3 mg/m3
Naphthalene,91-20-3,Oral,Noncancer,Decreased mean terminal body weight in males,n/a,RfD,2x10-2 mg/kg-day
Napropamide,15299-99-7,Oral,Noncancer,Decreased body weight gain in parental animals and pups,n/a,RfD,1x10-1 mg/kg-day
Nickel refinery dust,,Inhalation,Cancer,Lung cancer,A (Human carcinogen) (1986 guidelines),Inhalation Unit Risk,2.4x10-4 per ｵg/m3
Nickel subsulfide,12035-72-2,Inhalation,Cancer,Lung cancer,A (Human carcinogen) (1986 guidelines),Inhalation Unit Risk,4.8x10-4 per ｵg/m3
"Nickel, soluble salts",Various,Oral,Noncancer,Decreased body and organ weights,n/a,RfD,2x10-2 mg/kg-day
Nitrate,14797-55-8,Oral,Noncancer,Early clinical signs of methemoglobinemia in excess of 10% (0-3 months old infants formula),n/a,RfD,1.6 mg/kg-day
Nitrite,14797-65-0,Oral,Noncancer,Methemoglobinemia,n/a,RfD,1x10-1 mg/kg-day
Nitrobenzene,98-95-3,Oral,Noncancer,Increased methemoglobin levels,n/a,RfD,2x10-3 mg/kg-day
Nitrobenzene,98-95-3,Inhalation,Noncancer,Bronchiolization of the alveoli and olfactory degeneration,n/a,RfC,9x10-3 mg/m3
Nitrobenzene,98-95-3,Inhalation,Cancer,"Liver hepatocellular adenomas or carcinomas, kidney tubular adenomas or carcinomas, thyroid follicular cell adenomas or carcinomas",Likely to be carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,4x10-5 per ｵg/m3
Nitroguanidine,556-88-7,Oral,Noncancer,"Reduced weight gain in female rats, maternal/ fetal toxicity in rats, and equivocal evidence of developmental toxicity in rabbits",n/a,RfD,1x10-1 mg/kg-day
2-Nitropropane,79-46-9,Inhalation,Noncancer,Liver focal vacuolization and nodules,n/a,RfC,2x10-2 mg/m3
N-Nitroso-N-methylethylamine,10595-95-6,Oral,Cancer,Hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2.2x101 per mg/kg-day
N-Nitroso-di-n-butylamine,924-16-3,Oral,Cancer,Bladder and esophagus tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,5.4 per mg/kg-day
N-Nitroso-di-n-butylamine,924-16-3,Inhalation,Cancer,Bladder and esophagus tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1.6x10-3 per ｵg/m3
N-Nitrosodi-N-propylamine,621-64-7,Oral,Cancer,Hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,7.0 per mg/kg-day
N-Nitrosodiethanolamine,1116-54-7,Oral,Cancer,"Hepatocellular carcinoma, cholangiocellular carcinoma and adenoma and neoplastic nodules",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2.8 per mg/kg-day
N-Nitrosodiethylamine,55-18-5,Oral,Cancer,Liver tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.5x102 per mg/kg-day
N-Nitrosodiethylamine,55-18-5,Inhalation,Cancer,Liver tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,4.3x10-2 per ｵg/m3
N-Nitrosodimethylamine,62-75-9,Oral,Cancer,Liver tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,5.1x101 per mg/kg-day
N-Nitrosodimethylamine,62-75-9,Inhalation,Cancer,Liver tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1.4x10-2 per ｵg/m3
N-Nitrosodiphenylamine,86-30-6,Oral,Cancer,Transitional cell carcinoma of the bladder,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,4.9x10-3 per mg/kg-day
N-Nitrosopyrrolidine,930-55-2,Oral,Cancer,Hepatocellular carcinoma and adenoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2.1 per mg/kg-day
N-Nitrosopyrrolidine,930-55-2,Inhalation,Cancer,Hepatocellular carcinoma and adenoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,6.1x10-4 per ｵg/m3
Norflurazon,27314-13-2,Oral,Noncancer,Liver and thyroid effects,n/a,RfD,4x10-2 mg/kg-day
NuStar,85509-19-9,Oral,Noncancer,Liver cell enlargement,n/a,RfD,7x10-4 mg/kg-day
Octabromodiphenyl ether,32536-52-0,Oral,Noncancer,Induction of hepatic enzymes; liver histopathology,n/a,RfD,3x10-3 mg/kg-day
"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX)",2691-41-0,Oral,Noncancer,Hepatic lesions,n/a,RfD,5x10-2 mg/kg-day
Oryzalin,19044-88-3,Oral,Noncancer,"Increases in serum cholesterol, alkaline phosphatase, and relative liver and kidney weights, and decreases in alanine transaminase and adrenal weights",n/a,RfD,5x10-2 mg/kg-day
Oxadiazon,19666-30-9,Oral,Noncancer,Increased levels of serum proteins and increased liver weights,n/a,RfD,5x10-3 mg/kg-day
Oxamyl,23135-22-0,Oral,Noncancer,Decreased body weight gain and food consumption,n/a,RfD,2.5x10-2 mg/kg-day
Oxyfluorfen,42874-03-3,Oral,Noncancer,Increased absolute liver weight and nonneoplastic lesions,n/a,RfD,3x10-3 mg/kg-day
Paclobutrazol,76738-62-0,Oral,Noncancer,"Elevated liver weights, serum cholesterol, hepatic aminopyrine N-demethylase activity, and alanine transaminase levels",n/a,RfD,1.3x10-2 mg/kg-day
Paraquat,1910-42-5,Oral,Noncancer,Chronic pneumonitis,n/a,RfD,4.5x10-3 mg/kg-day
Pendimethalin,40487-42-1,Oral,Noncancer,"Increase in serum alkaline phosphatase and liver weight, and hepatic lesions",n/a,RfD,4x10-2 mg/kg-day
Pentabromodiphenyl ether,32534-81-9,Oral,Noncancer,Induction of hepatic enzymes,n/a,RfD,2x10-3 mg/kg-day
"2,2',4,4',5-Pentabromodiphenyl ether (BDE-99)",60348-60-9,Oral,Noncancer,Neurobehavioral effects,n/a,RfD,1x10-4 mg/kg-day
Pentachlorobenzene,608-93-5,Oral,Noncancer,Liver and kidney toxicity,n/a,RfD,8x10-4 mg/kg-day
Pentachloronitrobenzene (PCNB),82-68-8,Oral,Noncancer,Liver toxicity,n/a,RfD,3x10-3 mg/kg-day
Pentachlorophenol,87-86-5,Oral,Noncancer,Hepatotoxicity,n/a,RfD,5x10-3 mg/kg-day
Pentachlorophenol,87-86-5,Oral,Cancer,Hepatocellular adenomas or carcinomas and adrenal benign or malignant pheochromocytomas,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,4x10-1 per mg/kg-day
Perchlorate (ClO4) and Perchlorate Salts,7790-98-9,Oral,Noncancer,Radioactive iodide uptake inhibition (RAIU) in the thyroid,n/a,RfD,7x10-4 mg/kg-day
Perfluorobutanoic Acid (PFBA),375-22-4,Oral,Noncancer,"Increased hepatocellular hypertrophy (Liver), Decreased total T4 (Thyroid)",n/a,RfD,1x10-3 mg/kg-day (Chronic)
Perfluorobutanoic Acid (PFBA),375-22-4,Oral,Noncancer,Developmental delays,n/a,RfD,6x10-3 mg/kg-day (Chronic)
Perfluorobutanoic Acid (PFBA),375-22-4,Oral,Noncancer,Decreased total T4,n/a,RfD,1x10-2 mg/kg-day (Subchronic)
Perfluorobutanoic Acid (PFBA),375-22-4,Oral,Noncancer,Increased hepatocellular hypertrophy,n/a,RfD,1x10-3 mg/kg-day (Chronic)
Perfluorobutanoic Acid (PFBA),375-22-4,Oral,Noncancer,Developmental delays,n/a,RfD,6x10-3 mg/kg-day (Subchronic)
Perfluorobutanoic Acid (PFBA),375-22-4,Oral,Noncancer,Developmental delays,n/a,RfD,6x10-3 mg/kg-day (Subchronic)
Perfluorobutanoic Acid (PFBA),375-22-4,Oral,Noncancer,Increased hepatocellular hypertrophy,n/a,RfD,1x10-2 mg/kg-day (Subchronic)
Perfluorohexanoic Acid (PFHxA),307-24-4,Oral,Noncancer,Decreased postnatal (PND 0) body weight in F1 Sprague窶船awley male and female rats,n/a,RfD,5x10-4 mg/kg-day (Subchronic)
Perfluorohexanoic Acid (PFHxA),307-24-4,Oral,Noncancer,Increased hepatocellular hypertrophy in adult rats,n/a,RfD,1x10-3 mg/kg-day (Subchronic)
Perfluorohexanoic Acid (PFHxA),307-24-4,Oral,Noncancer,Decreased red blood cells in adult female Crl:CD Sprague窶船awley rats,n/a,RfD,5x10-3 mg/kg-day (Chronic)
Perfluorohexanoic Acid (PFHxA),307-24-4,Oral,Noncancer,Increased hepatocellular hypertrophy in adult male Crl:CD Sprague窶船awley rats,n/a,RfD,4x10-4 mg/kg-day (Chronic)
Perfluorohexanoic Acid (PFHxA),307-24-4,Oral,Noncancer,Decreased postnatal (PND 0) body weight in F1 Sprague窶船awley male and female rats,n/a,RfD,5x10-4 mg/kg-day (Chronic)
Perfluorohexanoic Acid (PFHxA),307-24-4,Oral,Noncancer,Decreased red blood cells in adult female Crl:CD Sprague窶船awley rats,n/a,RfD,8x10-4 mg/kg-day (Subchronic)
Perfluorohexanoic Acid (PFHxA),307-24-4,Oral,Noncancer,Decreased total T4 in adult male Harlan Sprague-Dawley rats,n/a,RfD,1x10-3 mg/kg-day (Subchronic)
Permethrin,52645-53-1,Oral,Noncancer,Increased liver weights,n/a,RfD,5x10-2 mg/kg-day
Phenmedipham,13684-63-4,Oral,Noncancer,No adverse effects,n/a,RfD,2.5x10-1 mg/kg-day
Phenol,108-95-2,Oral,Noncancer,Decreased maternal weight gain,n/a,RfD,3x10-1 mg/kg-day
m-Phenylenediamine,108-45-2,Oral,Noncancer,Increased relative and absolute liver weights and degenerative liver lesions,n/a,RfD,6x10-3 mg/kg-day
Phenylmercuric acetate,62-38-4,Oral,Noncancer,Renal damage,n/a,RfD,8x10-5 mg/kg-day
Phosgene,75-44-5,Inhalation,Noncancer,Collagen staining indicative of fibrosis,n/a,RfC,3x10-4 mg/m3
Phosmet,732-11-6,Oral,Noncancer,"Reduced body weight (males), liver cell vacuolation, cholinesterase inhibition",n/a,RfD,2x10-2 mg/kg-day
Phosphine,7803-51-2,Inhalation,Noncancer,Decreased body weight,n/a,RfC,3x10-4 mg/m3
Phosphine,7803-51-2,Oral,Noncancer,Body weight and clinical parameters,n/a,RfD,3x10-4 mg/kg-day
Phosphoric acid,7664-38-2,Inhalation,Noncancer,Bronchiolar fibrosis,n/a,RfC,1x10-2 mg/m3
Phthalic anhydride,85-44-9,Oral,Noncancer,Lung and kidney histopathology,n/a,RfD,2 mg/kg-day
Picloram,2/1/1918,Oral,Noncancer,Increased liver weights,n/a,RfD,7x10-2 mg/kg-day
Pirimiphos-methyl,29232-93-7,Oral,Noncancer,Transient plasma ChE depression,n/a,RfD,1x10-2 mg/kg-day
Polychlorinated Biphenyls (PCBs),1336-36-3,Oral,Cancer,"Liver hepatocellular adenomas, carcinomas, cholangiomas, or cholangiocarcinomas",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2 per mg/kg-day
Polychlorinated Biphenyls (PCBs),1336-36-3,Inhalation,Cancer,"Liver hepatocellular adenomas, carcinomas, cholangiomas, or cholangiocarcinomas",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1x10-4 per ｵg/m3 (Applies to inhalation of evaporated congeners)
Potassium cyanide,151-50-8,Oral,Noncancer,Decreased cauda epididymis weight in male F344/N rats. The RfD for potassium cyanide is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.,n/a,RfD,2x10-3 mg/kg-day
Potassium silver cyanide,506-61-6,Oral,Noncancer,Decreased cauda epididymis weight in male F344/N rats. The RfD for potassium cyanide is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.,n/a,RfD,5x10-3 mg/kg-day
Prochloraz,67747-09-5,Oral,Noncancer,"Increase in SAP and liver weights, liver histopathology",n/a,RfD,9x10-3 mg/kg-day
Prochloraz,67747-09-5,Oral,Cancer,Liver adenoma/ carcinoma combined,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,1.5x10-1 per mg/kg-day
Prometon,1610-18-0,Oral,Noncancer,No treatment related effects observed,n/a,RfD,1.5x10-2 mg/kg-day
Prometryn,7287-19-6,Oral,Noncancer,Liver and kidney degeneration and bone marrow atrophy,n/a,RfD,4x10-3 mg/kg-day
Pronamide,23950-58-5,Oral,Noncancer,No effects,n/a,RfD,7.5x10-2 mg/kg-day
Propachlor,1918-16-7,Oral,Noncancer,"Decreased weight gain, food consumption increased relative liver weights",n/a,RfD,1.3x10-2 mg/kg-day
Propanil,709-98-8,Oral,Noncancer,Increased relative spleen weight in females,n/a,RfD,5x10-3 mg/kg-day
Propargite,2312-35-8,Oral,Noncancer,"Reduced body weight gain (maternal), increased resorption, reduced body weight (fetal), delayed ossification",n/a,RfD,2x10-2 mg/kg-day (Maternal toxicity and fetotoxicity)
Propargyl alcohol,107-19-7,Oral,Noncancer,Renal and hepatotoxicity,n/a,RfD,2x10-3 mg/kg-day
Propazine,139-40-2,Oral,Noncancer,Decrease in body weight,n/a,RfD,2x10-2 mg/kg-day
Propham,122-42-9,Oral,Noncancer,Increase in male spleen weight and ChE depression in females,n/a,RfD,2x10-2 mg/kg-day
Propiconazole,60207-90-1,Oral,Noncancer,Gastric mucosal irritation,n/a,RfD,1.3x10-2 mg/kg-day
Propionaldehyde,123-38-6,Inhalation,Noncancer,Atrophy of olfactory epithelium,n/a,RfC,8x10-3 mg/m3
Propylene glycol monomethyl ether (PGME),107-98-2,Inhalation,Noncancer,Mild reversible sedation,n/a,RfC,2 mg/m3
Propylene oxide,75-56-9,Inhalation,Noncancer,Nest-like infolds of the nasal respiratory epithelium,n/a,RfC,3x10-2 mg/m3
Propylene oxide,75-56-9,Inhalation,Cancer,Nasal cavity hemangioma or hemangiosarcoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,3.7x10-6 per ｵg/m3
Propylene oxide,75-56-9,Oral,Cancer,"Forestomach, squamous cell carcinoma",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2.4x10-1 per mg/kg-day
Pursuit,81335-77-5,Oral,Noncancer,"Decreased packed cell volume, hemoglobin, erythrocytes in females",n/a,RfD,2.5x10-1 mg/kg-day
